GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
padel-app,com.example.padel_app.service,MatchService,96,284,9,15,21,60,11,17,5,11
padel-app,com.example.padel_app.service,NotificationService,58,87,0,0,11,17,4,5,4,5
padel-app,com.example.padel_app.service,RegistrationService,12,250,1,13,2,50,3,18,2,12
padel-app,com.example.padel_app.service,FeedbackService,0,180,0,6,0,41,0,12,0,9
padel-app,com.example.padel_app.service,UserSessionService,0,97,0,10,0,27,0,10,0,5
padel-app,com.example.padel_app.service,UserService,0,86,0,0,0,18,0,14,0,14
padel-app,com.example.padel_app.model.enums,Level,3,39,0,0,1,8,1,2,1,2
padel-app,com.example.padel_app.model.enums,MatchType,3,25,0,0,1,6,1,2,1,2
padel-app,com.example.padel_app.model.enums,RegistrationStatus,3,25,0,0,1,6,1,2,1,2
padel-app,com.example.padel_app.model.enums,MatchStatus,3,39,0,0,1,8,1,2,1,2
padel-app,com.example.padel_app.strategy,DateSortingStrategy,0,12,0,0,0,5,0,3,0,3
padel-app,com.example.padel_app.strategy,LevelSortingStrategy,0,17,0,0,0,5,0,4,0,4
padel-app,com.example.padel_app.strategy,PopularitySortingStrategy,0,13,0,0,0,5,0,3,0,3
padel-app,com.example.padel_app.config,SecurityConfig,0,7,0,0,0,2,0,2,0,2
padel-app,com.example.padel_app.config,DataSeeder,0,573,0,0,0,105,0,6,0,6
padel-app,com.example.padel_app.model,Match,9,15,3,1,1,3,3,2,1,2
padel-app,com.example.padel_app.event,MatchConfirmedEvent,0,7,0,0,0,3,0,1,0,1
padel-app,com.example.padel_app.event,MatchFinishedEvent,0,7,0,0,0,3,0,1,0,1
padel-app,com.example.padel_app,PadelAppApplication,5,3,0,0,2,1,1,1,1,1
padel-app,com.example.padel_app.listener,MatchEventListener,0,50,0,0,0,17,0,3,0,3
padel-app,com.example.padel_app.controller,AuthController,62,204,13,13,17,51,10,9,2,4
padel-app,com.example.padel_app.controller,WebController.CreateMatchRequest,0,31,0,0,0,9,0,9,0,9
padel-app,com.example.padel_app.controller,WebController,464,568,63,32,103,131,60,22,18,15
